"Name","2019 Population","GDP (IMF)","GDP (UN '16)","GDP Per Capita"
"Sri Lanka",21018.859,99.651,81.321970966,4741.028045337761
"Spain",46441.049000000006,1583.87,1237.255019654,34104.95744831258
"South Sudan",13263.184,2.807,6.534451826,211.6384723306259
"South Korea",51339.238,1777.65,1411.245589977,34625.562615479415
"South Africa",58065.097,386.853,295.440009818,6662.401683407159
"Somalia",15636.171,8.21,1.318057519,525.0646082087488
"Solomon Islands",635.254,1.463,1.133967215,2303.0158015533943
"Slovenia",2081.9,60.638,44.708598649,29126.278879869347
"Slovakia",5450.986999999999,119.875,89.768598023,21991.43017585623
"Sint Maarten",40.939,0,1.072067039,26186.937614499624
"Singapore",5868.104,367.783,296.946278392,62674.928733369416
